0.5,30,40,4,10,0.373497167,0.195769519,0.308031931,0.146619533,0.199096697,0.158315873,0.432739716,0.302020202
0.2,31,41,13,16,0.326394259,0.182401308,0.252786326,0.08612711,0.160651312,0.144344709,0.375820099,0.253352236
0.3,23,41,3,12,0.344224804,0.315448884,0.300043708,0.303812445,0.276992723,0.307421742,0.353816777,0.445798652
0.1,31,40,2,13,0.319852971,0.230996079,0.256462045,0.169416721,0.196390764,0.206584358,0.359933963,0.401261977
0.4,32,42,5,15,0.262378621,0.1652576,0.182654803,0.075299143,0.121097741,0.140890438,0.295252883,0.283452672
0.3,32,51,16,2,0.19120059,0.14808757,0.13104179,0.052555702,0.08170679,0.137023021,0.205571596,0.28086708
0.5,31,43,4,14,0.273627015,0.211217875,0.192675061,0.135226153,0.149132744,0.196382312,0.297404009,0.289455782
0.6,39,57,4,2,0.223823824,0.179630392,0.182265144,0.14974805,0.137538629,0.172674799,0.239787025,0.419924435
0.4,28,43,19,8,0.285724568,0.180756229,0.206399785,0.061652181,0.135727663,0.148211733,0.320714015,0.238009304
0.2,29,48,5,17,0.32782407,0.261276261,0.262905773,0.247880686,0.226217733,0.256068646,0.350427874,0.432064718
0.6,27,43,18,16,0.251416111,0.158176048,0.172180327,0.088445494,0.110308652,0.13274743,0.282496132,0.254411455
0.9,30,49,12,2,0.216280804,0.173073745,0.140078079,0.108794617,0.104294215,0.161413662,0.230683157,0.272402412
0.7,33,46,21,13,0.223567167,0.144406222,0.144934393,0.067458419,0.090246897,0.122410976,0.249954149,0.234493842
0.9,23,52,21,13,0.226739603,0.189066793,0.163329018,0.089427604,0.120183495,0.189504877,0.244868003,0.320954325
0.8,30,48,4,4,0.1841797,0.20227445,0.131426705,0.150532769,0.12946873,0.210108857,0.180852991,0.346385658
0.4,22,52,14,2,0.156225438,0.175172375,0.143039769,0.14385612,0.122397577,0.184825971,0.154947627,0.345022649
0.8,31,48,14,1,0.208503044,0.152337142,0.137209028,0.100682562,0.097657334,0.143331779,0.228023808,0.290334498
0.4,29,56,17,1,0.214022116,0.166539716,0.126059088,0.108411384,0.103035181,0.152564821,0.229849582,0.309051979
0.3,28,55,7,8,0.195767121,0.176904784,0.140317399,0.139495293,0.121778454,0.178619066,0.213269657,0.402729758
